City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
73,Qaanaaq,GL,77.484,-69.3632,-6.321999999999939,77,11,3.44,few clouds
74,Halifax,CA,44.6453,-63.5724,62.492,59,0,5.66,clear sky
75,Itarema,BR,-2.9248,-39.9167,80.13200000000002,66,3,7.21,clear sky
76,Ancud,CL,-41.8697,-73.8203,52.17800000000007,57,55,2.6,broken clouds
77,Aksarka,RU,66.5606,67.7975,30.14600000000005,94,100,6.88,overcast clouds
78,Monrovia,LR,6.3005,-10.7969,78.96200000000006,83,54,2.6,light rain
79,Berlevag,NO,70.8578,29.0864,39.2,65,100,11.32,overcast clouds
80,Klaksvik,FO,62.2266,-6.589,50.91800000000009,88,94,11.92,overcast clouds
81,Rumilly,FR,45.8667,5.95,59.19800000000002,92,0,1.54,clear sky
82,San Juan,AR,-31.5375,-68.5364,62.042,17,1,11.5,clear sky
83,Bredasdorp,ZA,-34.5322,20.0403,58.92800000000007,50,100,3.36,overcast clouds
84,Monastyrshchina,RU,54.3496,31.838,38.102000000000075,68,89,7.6,overcast clouds
85,Wattegama,LK,6.7989,81.4808,74.33600000000007,92,100,1.12,overcast clouds
86,Camacha,PT,33.0833,-16.3333,67.424,83,20,1.54,few clouds
87,Cheremshan,RU,54.6667,51.5,42.15200000000008,97,100,5.76,overcast clouds
88,Osorno,CL,-40.5667,-73.15,57.50600000000003,51,40,5.66,scattered clouds
89,Mercedes,AR,-34.6515,-59.4307,60.044000000000075,37,83,8.0,broken clouds
90,Nadym,RU,65.5333,72.5167,24.260000000000083,91,98,7.38,overcast clouds
91,Constitucion,CL,-35.3333,-72.4167,59.55800000000001,46,0,11.05,clear sky
92,Korla,CN,41.7597,86.1469,45.48200000000001,41,100,1.21,overcast clouds
93,Choma,ZM,-16.8065,26.9531,73.23800000000006,38,28,1.32,scattered clouds
94,Strezhevoy,RU,60.7333,77.5889,23.57600000000009,96,93,3.18,overcast clouds
95,Olafsvik,IS,64.8945,-23.7142,39.65,90,100,6.48,overcast clouds
96,Muros,ES,42.7762,-9.0603,60.15200000000008,93,100,3.28,overcast clouds
97,East London,ZA,-33.0153,27.9116,64.20200000000008,83,99,8.41,light rain
98,Sinnamary,GF,5.3833,-52.95,80.34800000000003,85,100,3.43,light rain
99,Iracoubo,GF,5.4802,-53.2011,80.31200000000007,84,100,3.59,light rain
100,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16400000000004,69,75,5.66,broken clouds
101,Okakarara,NA,-20.5833,17.4333,78.08000000000004,34,98,4.77,overcast clouds
102,Lakefield,US,43.6775,-95.1717,62.94199999999999,37,0,2.57,clear sky
103,Archidona,ES,37.0965,-4.3887,62.40200000000008,70,26,2.39,scattered clouds
104,Grindavik,IS,63.8424,-22.4338,42.74600000000005,93,100,5.14,moderate rain
105,Sioux Lookout,CA,50.1001,-91.917,51.87200000000004,25,20,4.63,few clouds
106,Mandera,KE,3.9366,41.867,80.42000000000007,67,37,4.37,scattered clouds
107,Monte Patria,CL,-30.6919,-70.9467,73.43600000000006,43,5,3.56,clear sky
108,Chepareria,KE,1.3077,35.2039,60.908,81,41,1.83,scattered clouds
109,Bolgatanga,GH,10.7856,-0.8514,81.98600000000008,32,0,0.81,clear sky
110,Aleksandrow Lodzki,PL,51.8196,19.3038,55.16600000000001,96,90,1.03,fog
111,Luderitz,NA,-26.6481,15.1594,62.492,67,62,7.72,broken clouds
112,Port Elizabeth,ZA,-33.918,25.5701,63.320000000000064,72,20,7.72,few clouds
113,Saint-Philippe,RE,-21.3585,55.7679,71.18600000000006,82,46,5.97,light rain
114,Tutoia,BR,-2.7619,-42.2744,81.01400000000004,69,9,8.55,clear sky
115,Trondheim,NO,63.4305,10.3951,44.69000000000002,97,70,2.82,broken clouds
116,Thessalon,CA,46.2501,-83.5666,55.688000000000045,63,100,2.49,overcast clouds
117,Sisimiut,GL,66.9395,-53.6735,22.04600000000005,82,60,3.55,broken clouds
118,Castro,BR,-24.7911,-50.0119,69.27800000000008,87,100,3.69,overcast clouds
119,Clyde River,CA,70.4692,-68.5914,5.233999999999991,78,75,2.06,broken clouds
