City_ID,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Wind Speed
73,Mahibadhoo,MV,2022-10-29 16:35:39,3.7833,72.9667,72,76,3.75
74,Mahebourg,MU,2022-10-29 16:35:39,-20.4081,57.7,78,40,1.54
75,Pangnirtung,CA,2022-10-29 16:35:40,66.1451,-65.7125,50,20,6.17
76,Marquette,US,2022-10-29 16:31:42,46.5333,-87.6335,51,100,4.88
77,Holme,DK,2022-10-29 16:35:40,56.1138,10.1725,84,100,4.13
78,Leh,IN,2022-10-29 16:35:41,34.1667,77.5833,38,0,0.81
79,Oksfjord,NO,2022-10-29 16:35:41,70.2396,22.3479,83,100,10.29
80,Sadon,RU,2022-10-29 16:35:42,42.8518,44.0037,83,97,1.77
81,East London,ZA,2022-10-29 16:35:11,-33.0153,27.9116,78,0,5.14
82,Colesberg,ZA,2022-10-29 16:35:42,-30.72,25.0972,26,100,2.96
83,Richards Bay,ZA,2022-10-29 16:35:43,-28.783,32.0377,64,28,7.61
84,Carutapera,BR,2022-10-29 16:35:43,-1.195,-46.02,55,97,5.96
85,Walvis Bay,NA,2022-10-29 16:35:44,-22.9575,14.5053,72,75,3.6
86,Iqaluit,CA,2022-10-29 16:35:44,63.7506,-68.5145,78,40,2.06
87,Gualaquiza,EC,2022-10-29 16:35:44,-3.4,-78.55,41,91,1.04
88,Paracuru,BR,2022-10-29 16:35:45,-3.41,-39.0306,56,97,8.88
89,Saint-Augustin,CA,2022-10-29 16:35:45,51.226,-58.6502,53,68,10.03
90,Marzuq,YE,2022-10-29 16:35:46,14.4,46.4667,45,77,2.69
91,Salinopolis,BR,2022-10-29 16:34:35,-0.6136,-47.3561,65,99,6.83
92,Bereda,ES,2022-10-29 16:37:02,43.2686,-7.5406,99,100,2.08
93,Souillac,MU,2022-10-29 16:37:02,-20.5167,57.5167,78,40,1.54
94,Japura,ID,2022-10-29 16:37:02,-0.3167,102.35,98,92,0.77
95,Dudinka,RU,2022-10-29 16:32:16,69.4058,86.1778,97,97,0.96
96,Rawson,AR,2022-10-29 16:37:03,-43.3002,-65.1023,18,0,8.75
97,Saint George,US,2022-10-29 16:37:04,37.1041,-113.5841,33,0,0.89
98,Kudahuvadhoo,MV,2022-10-29 16:37:04,2.6708,72.8944,78,74,4.93
99,Bredasdorp,ZA,2022-10-29 16:37:05,-34.5322,20.0403,81,100,4.13
100,Siyabuswa,ZA,2022-10-29 16:37:05,-25.1132,29.0445,39,42,4.06
101,Matagami,CA,2022-10-29 16:37:05,49.7502,-77.6328,62,0,6.17
102,Lagoa,PT,2022-10-29 16:37:06,39.05,-27.9833,63,95,6.28
103,Cockburn Town,TC,2022-10-29 16:37:06,21.4612,-71.1419,74,5,6.89
104,Sisimiut,GL,2022-10-29 16:37:07,66.9395,-53.6735,87,100,2.53
105,Sal Rei,CV,2022-10-29 16:37:07,16.1833,-22.9167,62,75,6.69
106,Khash,IR,2022-10-29 16:37:07,28.2211,61.2158,19,1,1.75
107,Rio De Janeiro,BR,2022-10-29 16:37:08,-22.9028,-43.2075,58,20,7.2
108,Kashi,CN,2022-10-29 16:37:08,39.4547,75.9797,26,14,3.0
109,Zyrardow,PL,2022-10-29 16:37:09,52.0488,20.446,99,91,4.64
110,Ouadda,CF,2022-10-29 16:37:09,8.0777,22.4007,54,100,0.66
111,Ilulissat,GL,2022-10-29 16:37:10,69.2167,-51.1,86,75,3.09
112,Saldanha,ZA,2022-10-29 16:37:10,-33.0117,17.9442,85,100,8.51
113,Zapolyarnyy,RU,2022-10-29 16:37:11,69.4154,30.8136,98,100,8.51
114,Bakuriani,GE,2022-10-29 16:37:11,41.7497,43.5325,88,99,1.25
115,Uruzgan,AF,2022-10-29 16:37:12,32.8333,66.0,23,0,1.07
116,Lubango,AO,2022-10-29 16:37:12,-14.9172,13.4925,68,75,1.54
117,Wukari,NG,2022-10-29 16:37:13,7.85,9.7833,50,85,2.15
118,Cidreira,BR,2022-10-29 16:37:13,-30.1811,-50.2056,64,10,3.09
119,Meulaboh,ID,2022-10-29 16:37:14,4.1363,96.1285,90,100,2.12
120,Grindavik,IS,2022-10-29 16:37:14,63.8424,-22.4338,93,75,2.06
121,Clyde River,CA,2022-10-29 16:37:15,70.4692,-68.5914,79,100,3.09
122,Salinas,US,2022-10-29 16:37:15,36.6777,-121.6555,71,0,2.06
123,Tanout,NE,2022-10-29 16:37:17,14.9709,8.8879,15,47,4.44
124,Sao Filipe,CV,2022-10-29 16:37:17,14.8961,-24.4956,64,100,1.69
125,Atbasar,KZ,2022-10-29 16:37:18,51.8,68.3333,83,100,3.31
126,Cuiaba,BR,2022-10-29 16:33:08,-15.5961,-56.0967,61,0,5.14
127,Huntington,US,2022-10-29 16:37:18,38.4193,-82.4452,55,0,0.89
128,Korla,CN,2022-10-29 16:37:18,41.7597,86.1469,43,8,3.18
129,Borba,BR,2022-10-29 16:37:19,-4.3878,-59.5939,38,100,1.73
130,Leshukonskoye,RU,2022-10-29 16:33:09,64.8989,45.7622,97,100,4.48
131,Whittlesea,ZA,2022-10-29 16:37:20,-32.1759,26.8244,38,98,2.43
132,Jacqueville,CI,2022-10-29 16:37:20,5.2052,-4.4146,81,99,3.82
133,Luderitz,NA,2022-10-29 16:37:21,-26.6481,15.1594,85,48,4.55
134,Mandali,IQ,2022-10-29 16:37:21,33.7499,45.5541,19,100,3.01
135,Castro,BR,2022-10-29 16:37:22,-24.7911,-50.0119,59,100,4.89
136,Hualmay,PE,2022-10-29 16:37:22,-11.0964,-77.6139,68,87,3.92
137,Geraldton,AU,2022-10-29 16:37:22,-28.7667,114.6,77,75,6.69
138,Salekhard,RU,2022-10-29 16:37:23,66.53,66.6019,94,97,3.25
139,Husavik,IS,2022-10-29 16:38:38,66.0449,-17.3389,72,57,2.97
140,Ataco,CO,2022-10-29 16:38:39,3.5915,-75.3818,68,93,1.59
141,Dingli,MT,2022-10-29 16:38:39,35.8614,14.3822,78,20,4.63
142,Roald,NO,2022-10-29 16:38:40,62.5833,6.1333,87,75,2.57
143,Halifax,CA,2022-10-29 16:37:53,44.6453,-63.5724,56,1,2.57
144,Gobabis,NA,2022-10-29 16:38:40,-22.45,18.9667,32,63,11.64
145,Codrington,AU,2022-10-29 16:38:40,-38.2667,141.9667,94,6,2.67
146,Talcahuano,CL,2022-10-29 16:38:41,-36.7167,-73.1167,94,100,5.14
147,Asfi,MA,2022-10-29 16:38:41,32.2994,-9.2372,49,100,2.38
148,Talnakh,RU,2022-10-29 16:38:42,69.4865,88.3972,95,100,3.34
149,Namibe,AO,2022-10-29 16:38:42,-15.1961,12.1522,83,75,0.0
150,Chardara,KZ,2022-10-29 16:38:42,41.2547,67.9692,45,100,2.95
151,Margate,GB,2022-10-29 16:38:43,51.3813,1.3862,75,83,1.34
152,Surt,LY,2022-10-29 16:38:43,31.2089,16.5887,64,7,4.08
153,Vestmannaeyjar,IS,2022-10-29 16:38:44,63.4427,-20.2734,93,40,9.77
154,Novokayakent,RU,2022-10-29 16:38:44,42.3937,47.9861,66,95,4.05
155,Upernavik,GL,2022-10-29 16:38:45,72.7868,-56.1549,67,61,7.61
156,Matara,LK,2022-10-29 16:38:45,5.9485,80.5353,89,100,1.17
157,Minab,IR,2022-10-29 16:38:46,27.1467,57.0801,78,0,0.0
158,Iringa,TZ,2022-10-29 16:38:46,-7.7667,35.7,54,100,5.68
159,Loiza,PR,2022-10-29 16:38:46,18.4313,-65.8802,72,75,7.2
