City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Nigel,ZA,66.0,broken clouds,-26.4314,28.4771,Nambiti Lodge
469,Masvingo,ZW,72.0,broken clouds,-20.0637,30.8277,River Side Lodge
484,Nouadhibou,MR,72.0,overcast clouds,20.930999999999997,-17.0347,El Medina
501,Pattoki,PK,70.0,clear sky,31.0167,73.85,Lahore HARDWARE store
502,Talara,PE,72.0,clear sky,-4.5772,-81.2719,Hostal Oro Negro
506,Kabompo,ZM,66.0,scattered clouds,-13.5927,24.2008,Big Tree
507,Newcastle,AU,68.0,clear sky,-32.9272,151.7765,NOAH'S on the beach
508,Zomba,MW,71.0,clear sky,-15.386,35.3188,Trout Farm Campsite
512,Kuruman,ZA,71.0,broken clouds,-27.4524,23.4325,A HOTEL KURUMAN
516,Bilma,NE,74.0,clear sky,18.6853,12.9164,Expeditions Ténére voyages
518,Marzuq,YE,66.0,broken clouds,14.4,46.4667,حيد القفلة
519,Divo,CI,74.0,broken clouds,5.8397,-5.36,Hôtel IROKO
522,Bumba,CD,71.0,light rain,2.1833,22.4667,Père Carlos
528,Kambove,CD,69.0,broken clouds,-10.8764,26.5969,Pat. Mukendi
529,Juba,SS,73.0,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
537,Upington,ZA,69.0,scattered clouds,-28.4478,21.2561,River Place Manor
540,San Lawrenz,MT,66.0,clear sky,36.0553,14.204,San Andrea Hotel
545,Bengkulu,ID,74.0,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
552,Beni Suef,EG,70.0,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
562,Ambilobe,MG,72.0,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
569,Manakara,MG,70.0,light rain,-22.1333,48.0167,La Residence Manakara
572,Buraydah,SA,74.0,scattered clouds,26.326,43.975,Mövenpick Qassim
587,Akot,IN,67.0,clear sky,21.0964,77.0586,Shri PRASAD
589,Mahanoro,MG,69.0,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
597,Buta,CD,70.0,light rain,2.7858,24.73,Hôtel BOPANDO
607,Acari,PE,73.0,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
612,Ratnagiri,IN,74.0,clear sky,16.9833,73.3,Hotel Landmark
613,Manoharpur,IN,70.0,clear sky,27.3,75.95,कैथल हरियाणा होटल
615,Araxa,BR,71.0,overcast clouds,-19.5933,-46.9406,Plaza Inn Flat Araxá
617,Beni Mazar,EG,71.0,clear sky,28.4962,30.8029,Link Co-Working space & Development center
622,Darnah,LY,67.0,clear sky,32.766999999999996,22.6367,فندق الفردوس
627,Le Pradet,FR,66.0,overcast clouds,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
630,Ovalle,CL,73.0,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
633,Raniganj,IN,70.0,clear sky,23.6167,87.1333,Hotel RK Continental
635,Adeje,ES,73.0,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
647,Tabas,IR,67.0,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
663,Chimbote,PE,66.0,broken clouds,-9.0853,-78.5783,Hotel Briliá
668,Puerto Ayora,EC,66.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
670,Channarayapatna,IN,66.0,overcast clouds,12.9044,76.3917,Ideal bakery
672,Valparaiso,CL,66.0,clear sky,-33.0393,-71.6273,Hotel Ultramar
674,Havelock,US,67.0,broken clouds,34.8791,-76.9013,Sherwood Motel
680,Vallenar,CL,75.0,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
683,Santa Cruz De La Palma,ES,74.0,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
684,Pachperwa,IN,68.0,clear sky,27.5167,82.65,Manglam mairrage lawn
686,Kindu,CD,70.0,moderate rain,-2.95,25.95,Résidence Okanda
687,Odweyne,SO,71.0,clear sky,9.4092,45.06399999999999,Eng Hiirey House
